ticker,date,open,high,low,close
CSW,2025-06-16,287.45,293.9,287.325,289.21
CSW,2025-06-17,288.67,291.5,283.45,283.97
CSW,2025-06-18,282.51,288.52,280.405,281.55
CSW,2025-06-20,283.085,285.52,277.43,282.23
CSW,2025-06-23,278.61,290.465,278.61,289.96
CSW,2025-06-24,294.74,294.75,288.8,289.35
CSW,2025-06-25,291.73,291.73,284.24,284.24
CSW,2025-06-26,287.2,289.25,285.105,287.84
CSW,2025-06-27,289.9,294.01,285.99,289.8
CSW,2025-06-30,291.84,291.84,286.78,286.83
CSW,2025-07-01,284.61,297.815,282.995,289.97
CSW,2025-07-02,287.27,291.51,287.27,289.31
CSW,2025-07-03,291.2,296.13,289.79,293.0
CSW,2025-07-07,293.06,293.06,280.135,282.03
CSW,2025-07-08,279.565,291.145,279.565,286.16
CSW,2025-07-09,291.138,294.72,285.15,294.11
CSW,2025-07-10,293.499,306.16,293.499,304.67
CSW,2025-07-11,302.295,305.35,302.295,303.91
CSW,2025-07-14,302.345,305.655,300.14,304.23
CSW,2025-07-15,306.0,306.0,291.19,291.31
CSW,2025-07-16,295.3,299.01,288.765,289.0
CSW,2025-07-17,290.45,295.7,289.53,291.28
CSW,2025-07-18,292.85,294.035,285.095,287.04
CSW,2025-07-21,288.97,288.97,282.29,282.71
CSW,2025-07-22,279.675,288.5,279.675,285.16
CSW,2025-07-23,287.15,290.32,285.0,289.46
CSW,2025-07-24,287.48,288.89,282.175,283.38
CSW,2025-07-25,283.555,285.905,281.74,283.52
CSW,2025-07-28,283.13,284.09,278.17,282.9
CSW,2025-07-29,282.66,285.6,277.75,277.88
CSW,2025-07-30,276.09,279.33,265.81,269.0
CSW,2025-07-31,261.64,276.805,254.21,258.76
CSW,2025-08-01,255.0,255.49,241.995,245.015
CSW,2025-08-04,247.02,250.45,242.67,248.1
CSW,2025-08-05,245.46,253.21,245.46,251.41
CSW,2025-08-06,251.28,253.1,250.38,251.5
CSW,2025-08-07,252.5,260.535,251.27,258.17
CSW,2025-08-08,257.97,263.31,257.74,261.56
